TV,Radio,Newspaper,Sale (TV),Sale (Radio),Sale (Newspaper),Sale (TV and Newspaper),Sale (TV and Radio),Sale (Newspaper and Radio)
54.88135039,,,154.7889438,,,,,
71.51893664,,,199.8384598,,,,,
60.27633761,,,197.3103621,,,,,
54.4883183,,,165.1072325,,,,,
42.36547993,,,132.7693426,,,,,
64.58941131,,,191.5414829,,,,,
43.75872113,,,127.7418459,,,,,
89.17730008,,,251.3671583,,,,,
96.36627605,,,286.1804545,,,,,
38.34415188,,,107.4175335,,,,,
79.17250381,,,246.0967507,,,,,
52.88949198,,,170.0794946,,,,,
56.80445611,,,185.0791555,,,,,
92.55966383,,,286.2045109,,,,,
7.10360582,,,15.32427809,,,,,
8.71292997,,,14.97982005,,,,,
2.021839744,,,13.73215105,,,,,
83.26198455,,,253.3488818,,,,,
77.81567509,,,215.7616408,,,,,
87.00121482,,,264.5584624,,,,,
97.86183422,,,301.7307009,,,,,
79.91585642,,,240.3368252,,,,,
46.14793623,,,136.593272,,,,,
78.05291763,,,226.082268,,,,,
11.82744259,,,21.01698077,,,,,
63.99210213,,,199.9792859,,,,,
14.33532874,,,39.91484177,,,,,
94.4668917,,,281.0660085,,,,,
52.18483218,,,173.8817084,,,,,
41.466194,,,131.2435931,,,,,
26.45556121,,,83.07493364,,,,,
77.42336894,,,233.6907249,,,,,
45.61503322,,,152.0450483,,,,,
56.84339489,,,187.7260777,,,,,
1.878980044,,,14.93199125,,,,,
61.76354971,,,191.112895,,,,,
61.20957227,,,162.6826861,,,,,
61.69339969,,,186.3174182,,,,,
94.37480785,,,281.823354,,,,,
68.18202991,,,205.485622,,,,,
35.95079006,,,117.282831,,,,,
43.70319538,,,103.7128145,,,,,
69.76311959,,,203.5962382,,,,,
6.022547163,,,20.76668504,,,,,
66.67667154,,,195.3615592,,,,,
67.06378696,,,187.0222998,,,,,
21.03825611,,,71.80440319,,,,,
12.89262977,,,41.44660835,,,,,
31.54283509,,,84.91745957,,,,,
36.37107709,,,112.2614033,,,,,
57.01967704,,,179.2748882,,,,,
43.86015135,,,131.6333805,,,,,
98.83738381,,,304.5177995,,,,,
10.20448107,,,31.39604498,,,,,
20.88767561,,,58.710737,,,,,
16.13095179,,,36.7986502,,,,,
65.31083255,,,195.07319,,,,,
25.32916025,,,77.93041014,,,,,
46.63107729,,,148.6515595,,,,,
24.4425592,,,72.17660292,,,,,
15.89695836,,,52.26503116,,,,,
11.03751412,,,23.46642221,,,,,
